"id","name","aug_type","name_pool","archetype","level","lore","focuseffect","worneffect","total_points","stat_count","ac","hp","mana","astr","asta","adex","aagi","awis","aint","acha","mr","fr","cr","dr","pr","heroic_str","heroic_sta","heroic_dex","heroic_agi","heroic_wis","heroic_int","heroic_cha"
"160020","Rend Dirkbrow","lost","hard","melee_offense","10","Lost Soul","0","0","36","5","2","9","0","2","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"160032","Aeliani Duskkeeper","lost","soft","caster","10","Lost Soul","2336","0","67","8","2","0","9","0","3","0","2","0","3","2","0","0","2","0","2","0","0","0","0","0","0","0"
"160034","Velen Sagetouch","lost","soft","healer","10","Lost Soul","0","0","55","6","2","13","10","0","0","0","0","3","0","2","0","0","2","0","0","0","0","0","0","0","0","0"
"160066","Cassin Runemark","lost","soft","healer","10","Lost Soul","0","0","62","8","0","9","13","2","1","0","2","2","0","0","3","1","0","0","0","0","0","0","0","0","0","0"
"160083","Soren Darkwall","lost","hard","melee_offense","10","Lost Soul","0","0","64","8","0","6","0","0","0","3","2","3","2","0","2","0","1","3","0","0","0","0","0","0","0","0"
"160095","Zael Ashflame","lost","soft","healer","10","Lost Soul","0","0","53","6","2","16","9","0","0","0","0","0","2","2","0","0","0","0","2","0","0","0","0","0","0","0"
"160096","Treldarent Scarbreaker","lost","hard","melee_offense","10","Lost Soul","0","0","78","8","2","17","0","3","3","2","2","0","0","0","0","2","0","3","0","0","0","0","0","0","0","0"
"160097","Hadwin Flintvein","lost","hard","melee_defense","10","Lost Soul","0","0","34","5","2","10","0","0","1","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"160107","Lyriel Mistmere","lost","soft","caster","10","Lost Soul","2366","0","35","4","0","9","12","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0"
"160109","Caerrin Ashsong","lost","soft","mixed","10","Lost Soul","0","0","67","8","2","7","18","3","2","0","1","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0"
"160116","Renvent Coldforge","lost","hard","melee_defense","10","Lost Soul","0","0","30","6","1","6","0","2","0","0","0","0","1","0","0","0","2","1","0","0","0","0","0","0","0","0"
"160120","Wulf Scarfall","lost","hard","melee_offense","10","Lost Soul","0","0","61","8","1","15","7","1","0","2","3","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0"
"160127","Rowan Darkbrow","lost","hard","melee_defense","10","Lost Soul","0","0","61","9","2","9","0","2","1","1","3","0","0","0","0","2","1","3","0","0","0","0","0","0","0","0"
"160128","Rael Dawnvale","lost","soft","caster","10","Lost Soul","0","0","58","8","0","0","7","2","2","0","0","0","2","3","2","1","2","0","0","0","0","0","0","0","0","0"
"160130","Waelaneth Mistrise","lost","soft","healer","10","Lost Soul","0","0","58","9","0","10","0","1","3","0","0","1","2","2","0","0","2","1","1","0","0","0","0","0","0","0"
"160131","Brak Coldhold","lost","hard","melee_defense","10","Lost Soul","0","0","47","6","2","14","0","1","0","0","2","0","0","0","2","0","3","0","0","0","0","0","0","0","0","0"
"160137","Valdethash Galecloak","lost","hard","mixed","10","Lost Soul","0","0","58","9","1","0","0","2","3","0","3","1","0","1","0","3","1","0","1","0","0","0","0","0","0","0"
"160152","Kaelani Duskwhisper","lost","soft","healer","10","Lost Soul","0","0","70","9","0","6","6","0","0","0","2","3","3","2","0","2","3","1","0","0","0","0","0","0","0","0"
"160154","Draxornok Grimmantle","lost","hard","melee_defense","10","Lost Soul","0","0","70","9","2","10","11","1","1","0","0","2","3","0","0","0","3","0","2","0","0","0","0","0","0","0"
"160155","Hadrik Helmwall","lost","hard","melee_offense","10","Lost Soul","0","0","55","7","3","12","0","2","3","2","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0"
"160163","Trelel Veilmere","lost","soft","caster","10","Lost Soul","0","0","45","6","0","11","6","0","1","0","3","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0"
"160164","Pelian Duskfall","lost","hard","melee_offense","10","Lost Soul","0","0","42","6","2","8","0","2","0","2","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0"
"160166","Vaelis Lighthaven","lost","soft","healer","10","Lost Soul","2339","0","64","7","2","18","9","0","0","0","0","2","0","2","0","3","2","0","0","0","0","0","0","0","0","0"
"160170","Maren Emberflame","lost","soft","caster","10","Lost Soul","0","0","52","7","0","12","4","0","0","0","0","2","2","2","0","2","0","0","2","0","0","0","0","0","0","0"
"160184","Aelith Lightwalker","lost","soft","caster","10","Lost Soul","2345","0","40","4","2","13","13","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"160211","Renvem Scarvale","lost","hard","melee_offense","10","Lost Soul","0","0","62","9","1","4","0","0","1","2","2","0","2","0","0","3","3","0","3","0","0","0","0","0","0","0"
"160225","Declan Calmborne","lost","soft","caster","10","Lost Soul","0","0","73","9","0","0","15","2","1","0","0","3","2","2","0","2","0","1","3","0","0","0","0","0","0","0"
"160248","Korvesh Frostwall","lost","hard","mixed","10","Lost Soul","0","0","38","7","0","8","6","0","0","0","0","1","1","1","0","2","0","2","0","0","0","0","0","0","0","0"
"160251","Isara Clearbloom","lost","soft","caster","10","Lost Soul","2366","0","50","4","0","16","16","0","0","0","0","0","0","3","0","0","0","2","0","0","0","0","0","0","0","0"
"160255","Cadon Ironbreaker","lost","hard","melee_offense","10","Lost Soul","0","0","39","5","0","7","0","2","3","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0"
"160256","Zaeliel Stillmantle","lost","soft","caster","10","Lost Soul","2366","0","36","4","0","12","10","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"160274","Cadarnem Bloodmantle","lost","hard","melee_offense","10","Lost Soul","0","0","70","9","1","18","0","0","0","2","2","2","1","0","3","3","0","1","0","0","0","0","0","0","0","0"
"160279","Galdan Helmfall","lost","hard","melee_defense","10","Lost Soul","0","0","43","7","1","7","0","0","2","0","0","2","2","0","1","0","0","2","0","0","0","0","0","0","0","0"
"160296","Maldoth Fellmark","lost","hard","melee_defense","10","Lost Soul","0","0","37","6","2","9","0","0","1","0","0","3","0","0","0","1","0","0","1","0","0","0","0","0","0","0"
"160305","Harvavnund Cragcrest","lost","hard","melee_defense","10","Lost Soul","0","0","66","9","3","10","0","1","3","1","0","0","3","0","0","0","1","3","1","0","0","0","0","0","0","0"
"160324","Laelelara Everrise","lost","soft","healer","10","Lost Soul","2345","0","52","7","0","6","11","0","3","0","0","1","1","0","2","3","0","0","0","0","0","0","0","0","0","0"
"160327","Fenara Mornglass","lost","soft","caster","10","Lost Soul","2333","0","57","7","0","0","6","0","2","0","3","0","2","2","0","0","2","0","3","0","0","0","0","0","0","0"
"160331","Zael Moonmark","lost","soft","caster","10","Lost Soul","0","0","64","9","0","0","6","1","2","0","2","0","2","3","1","3","0","0","2","0","0","0","0","0","0","0"
"160342","Aryn","lost","soft","healer","10","Lost Soul","0","0","74","9","0","14","10","0","3","0","2","2","0","1","0","0","2","2","2","0","0","0","0","0","0","0"
"160366","Strax Duskfist the Stalwart","lost","hard","melee_defense","10","Lost Soul","0","0","45","6","0","10","0","0","0","1","2","2","0","0","0","0","2","3","0","0","0","0","0","0","0","0"
"160369","Greym","lost","hard","melee_offense","10","Lost Soul","0","0","39","6","1","12","0","1","0","2","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0"
"160371","Haeluna Moonmantle","lost","soft","caster","10","Lost Soul","0","0","42","5","2","12","11","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"160394","Gavin Everwater","lost","soft","caster","10","Lost Soul","0","0","57","8","0","0","8","2","2","0","0","1","0","2","1","3","0","3","0","0","0","0","0","0","0","0"
"160405","Wulvastash Stormward","lost","hard","melee_defense","10","Lost Soul","0","0","62","9","0","9","0","2","2","1","2","0","1","0","0","2","3","2","0","0","0","0","0","0","0","0"
"160426","Cadom Swordforge","lost","hard","melee_defense","10","Lost Soul","0","0","45","6","3","11","0","0","0","1","0","3","0","0","2","0","1","0","0","0","0","0","0","0","0","0"
"160436","Brondeld Warpeak","lost","hard","mixed","10","Lost Soul","0","0","81","9","1","15","11","0","3","0","0","2","3","2","0","2","0","2","0","0","0","0","0","0","0","0"
"160463","Tharok Galespite","lost","hard","melee_defense","10","Lost Soul","0","0","42","5","2","6","0","0","0","3","0","3","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"160466","Kaldus Flintshroud the Wrathful","lost","hard","melee_offense","10","Lost Soul","0","0","43","7","1","8","0","0","0","1","3","1","0","0","0","0","2","0","2","0","0","0","0","0","0","0"
"160485","Seren Dawnvale","lost","soft","caster","10","Lost Soul","2348","0","44","5","2","10","10","3","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"160496","Elyn Lighthaven","lost","soft","caster","10","Lost Soul","0","0","43","5","2","14","9","0","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"160511","Helm Cragfall","lost","hard","melee_offense","10","Lost Soul","0","0","58","7","0","12","0","1","2","2","2","0","0","0","0","3","0","3","0","0","0","0","0","0","0","0"
"160512","Aldren Calmtouch","lost","soft","mixed","10","Lost Soul","0","0","56","5","0","19","11","0","0","0","3","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0"
"160530","Elan Everward","lost","soft","caster","10","Lost Soul","0","0","64","7","0","12","13","0","2","0","0","0","2","2","0","0","0","3","2","0","0","0","0","0","0","0"
"160538","Berek Boneridge","lost","hard","melee_defense","10","Lost Soul","0","0","49","8","0","5","14","1","2","2","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0"
"160542","Valdis Axeshroud","lost","hard","melee_offense","10","Lost Soul","0","0","42","6","0","6","0","3","2","0","0","1","0","0","0","2","0","2","0","0","0","0","0","0","0","0"
"160551","Nolan Ashtouch","lost","soft","healer","10","Lost Soul","2345","0","53","7","2","8","12","0","2","0","0","0","0","1","3","0","0","0","2","0","0","0","0","0","0","0"
"160555","Neryn Runewhisper","lost","soft","healer","10","Lost Soul","0","0","54","7","0","0","10","0","2","0","2","2","2","0","0","2","0","0","2","0","0","0","0","0","0","0"
"160557","Theron Ashmantle","lost","soft","caster","10","Lost Soul","0","0","51","5","0","0","12","0","3","0","0","0","0","3","2","0","0","3","0","0","0","0","0","0","0","0"
"160566","Aela Veilmere","lost","soft","healer","10","Lost Soul","0","0","61","9","0","0","10","0","2","0","2","1","1","3","0","2","1","2","0","0","0","0","0","0","0","0"
"160588","Branwen Calmglass","lost","soft","healer","10","Lost Soul","0","0","68","8","0","0","14","2","2","0","0","2","0","3","0","2","2","2","0","0","0","0","0","0","0","0"
"160603","Veran Dreadvale","restless","hard","melee_defense","10","Restless Soul","0","0","44","9","2","9","0","2","0","0","1","1","1","0","1","1","0","1","0","0","0","0","0","0","0","0"
"160612","Harveld Dreadfist","restless","hard","melee_offense","10","Restless Soul","0","0","46","8","3","8","0","1","1","1","2","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0"
"160636","Wren Glenmark","restless","soft","healer","10","Restless Soul","2333","0","53","9","0","0","5","2","2","0","1","2","0","2","2","0","1","1","0","0","0","0","0","0","0","0"
"160637","Vrax Helmbreaker","restless","hard","melee_offense","10","Restless Soul","0","0","49","11","1","4","0","1","1","1","2","1","0","0","1","2","2","0","1","0","0","0","0","0","0","0"
"160644","Hrathom Duskbreaker","restless","hard","melee_offense","10","Restless Soul","0","0","39","8","0","6","0","1","2","2","0","1","0","0","1","1","0","0","1","0","0","0","0","0","0","0"
"160703","Aelari Mistseeker the Graceful","found","soft","healer","10","Found Soul","0","0","48","10","0","0","6","1","2","0","0","1","1","1","0","2","2","1","1","0","0","0","0","0","0","0"
"160715","Jareth Dirkmark the Enduring","found","hard","melee_defense","10","Found Soul","0","0","57","13","1","4","0","2","1","2","1","1","1","0","1","1","1","2","1","0","0","0","0","0","0","0"
"160719","Breli Ashborn","found","soft","healer","10","Found Soul","2366","0","71","10","0","0","10","0","2","0","2","2","2","2","2","2","1","0","2","0","0","0","0","0","0","0"
"160731","Velen Calmmark","found","soft","caster","10","Found Soul","0","0","65","11","1","10","8","1","2","0","0","1","2","2","1","0","1","2","0","0","0","0","0","0","0","0"
"160746","Aryn Glenhaven the Arcane","found","soft","caster","10","Found Soul","0","0","48","10","1","0","4","1","1","0","0","2","2","2","1","1","0","1","0","0","0","0","0","0","0","0"
"160002","Faera Starborne","lost","soft","caster","20","Lost Soul","2336","0","139","9","0","25","23","4","5","0","2","0","5","0","3","3","3","0","0","0","0","0","0","0","0","0"
"160024","Aldordor Gravecrest","lost","hard","melee_defense","20","Lost Soul","0","0","75","6","2","29","0","0","1","3","0","0","0","0","4","0","0","4","0","0","0","0","0","0","0","0"
"160029","Pelian Duskmantle","lost","hard","melee_offense","20","Lost Soul","0","0","79","6","4","0","0","2","0","3","5","0","0","0","0","4","5","0","0","0","0","0","0","0","0","0"
"160036","Helkus Galebrow","lost","hard","melee_defense","20","Lost Soul","0","0","107","8","5","25","0","3","0","3","2","2","0","0","0","0","0","4","5","0","0","0","0","0","0","0"
"160044","Gaela Valebrook","lost","soft","caster","20","Lost Soul","0","0","131","9","0","23","30","0","2","0","2","6","2","0","5","3","0","2","0","0","0","0","0","0","0","0"
"160048","Dorian Everwater","lost","soft","healer","20","Lost Soul","0","0","131","9","0","12","0","3","4","0","3","4","0","3","0","5","0","6","6","0","0","0","0","0","0","0"
"160063","Thalindra Mornflame","lost","soft","mixed","20","Lost Soul","0","0","132","8","0","26","26","5","5","1","3","0","0","0","0","5","0","3","0","0","0","0","0","0","0","0"
"160070","Pani","lost","soft","healer","20","Lost Soul","2348","0","104","7","0","34","20","0","3","0","0","3","0","2","0","3","0","3","0","0","0","0","0","0","0","0"
"160077","Paldone Blackfist","lost","hard","mixed","20","Lost Soul","0","0","73","6","0","19","0","0","3","2","0","4","0","0","4","0","2","0","0","0","0","0","0","0","0","0"
"160081","Zaelene Windborn","lost","soft","healer","20","Lost Soul","2333","0","132","8","0","13","33","3","5","0","0","4","0","2","6","4","0","0","0","0","0","0","0","0","0","0"
"160084","Durk Stonesworn","lost","hard","melee_offense","20","Lost Soul","0","0","122","10","0","28","0","4","4","1","2","0","2","0","2","0","5","5","2","0","0","0","0","0","0","0"
"160091","Kija Everflame","lost","soft","caster","20","Lost Soul","0","0","114","8","3","24","21","3","3","0","0","0","0","3","3","0","5","0","0","0","0","0","0","0","0","0"
"160106","Saelovaeth Dawnseeker","lost","soft","mixed","20","Lost Soul","0","0","146","10","3","22","31","0","0","6","2","6","0","1","1","0","4","0","3","0","0","0","0","0","0","0"
"160108","Elan Emberwhisper","lost","soft","healer","20","Lost Soul","0","0","126","9","0","28","0","0","2","0","5","4","3","3","4","0","3","0","3","0","0","0","0","0","0","0"
"160133","Serenlis Silverbrook","lost","soft","healer","20","Lost Soul","0","0","145","10","0","24","14","4","3","0","0","2","2","6","3","5","0","5","0","0","0","0","0","0","0","0"
"160143","Maldandor Grimbrow","lost","hard","melee_offense","20","Lost Soul","0","0","96","6","0","23","0","0","5","3","5","0","0","0","5","2","0","0","0","0","0","0","0","0","0","0"
"160150","Aeliel Brightwater","lost","soft","caster","20","Lost Soul","0","0","98","8","5","13","21","0","1","0","2","0","4","0","0","3","0","0","4","0","0","0","0","0","0","0"
"160156","Tharem Axeshroud","lost","hard","melee_offense","20","Lost Soul","0","0","99","7","0","15","0","4","3","4","4","0","0","0","0","0","0","6","2","0","0","0","0","0","0","0"
"160157","Celiiraren Mornborn","lost","soft","caster","20","Lost Soul","0","0","98","8","0","0","19","0","1","0","3","0","4","5","2","0","3","0","4","0","0","0","0","0","0","0"
"160161","Faranek Brightsinger","lost","soft","healer","20","Lost Soul","0","0","131","10","0","0","28","3","0","0","3","2","3","5","0","2","3","4","4","0","0","0","0","0","0","0"
"160162","Gavin Scarcloak","lost","hard","melee_offense","20","Lost Soul","0","0","82","6","4","22","0","1","0","5","0","0","0","0","4","0","4","0","0","0","0","0","0","0","0","0"
"160167","Lendone Craghold","lost","hard","melee_offense","20","Lost Soul","0","0","101","7","5","23","0","3","0","5","4","0","0","0","0","3","0","2","0","0","0","0","0","0","0","0"
"160173","Faelarael Veilborn","lost","soft","healer","20","Lost Soul","0","0","98","6","0","22","36","0","1","0","0","0","3","0","4","4","0","0","0","0","0","0","0","0","0","0"
